issued_year,container_title,all_articles
2018,Water Research X,12
2019,World Neurosurgery: X,40
2019,Atmospheric Environment: X,50
2019,Toxicon: X,17
2019,Journal of Structural Biology: X,10
2019,Journal of Computational Physics: X,33
2019,Respiratory Medicine: X,11
2019,Journal of Hydrology X,33
2019,European Journal of Obstetrics & Gynecology and Reproductive Biology: X,80
2019,Contraception: X,13
2019,Optical Materials: X,34
2019,Gene: X,19
2019,Chemical Engineering Science: X,43
2019,Cytokine: X,10
2019,"Chaos, Solitons & Fractals: X",16
2019,Journal of Non-Crystalline Solids: X,34
2019,Materials Letters: X,20
2019,Vaccine: X,40
2019,Chemical Physics Letters: X,24
2019,Expert Systems with Applications: X,11
2019,Atherosclerosis: X,7
2019,"Resources, Conservation & Recycling: X",16
2019,Food Chemistry: X,37
2019,Biosensors and Bioelectronics: X,10
2019,Analytica Chimica Acta: X,19
2019,International Journal of Pharmaceutics: X,38
2019,Sleep Medicine: X,10
2019,Journal of Biomedical Informatics: X,25
2019,Energy Conversion and Management: X,14
2019,The Journal of Pediatrics: X,9
2019,Water Research X,20
2019,Nutrition: X,4
2019,Veterinary Parasitology: X,17
2019,Ecological Engineering: X,11
2019,Journal of Biotechnology: X,9
2019,Journal of Asian Earth Sciences: X,9
2019,Research Policy: X,2
2018,Journal of Hydrology X,5
2019,Diabetes & Metabolism: X,1
2019,Journal of Dentistry: X,4
